,name,forward [log2(rna/dna)],reverse [log2(rna/dna)],chr.hg38,start.hg38,stop.hg38
96,ENSG00000010256,1.994,1.087,3,48609607.0,48609807.0
98,ENSG00000010310,-1.507,-1.164,19,45668170.0,45668370.0
100,ENSG00000010319,-1.501,-0.179,3,52444956.0,52445156.0
102,ENSG00000010327,-1.137,-1.754,3,52495238.0,52495438.0
104,ENSG00000011007,2.193,2.42,1,23743360.0,23743560.0
106,ENSG00000011009,2.07,0.907,1,23791010.0,23791210.0
108,ENSG00000011021,2.673,2.981,1,11805993.0,11806193.0
110,ENSG00000011028,-0.033,0.721,17,62627571.0,62627771.0
112,ENSG00000011114,0.399,1.96,14,93332938.0,93333138.0
114,ENSG00000011243,-0.42,0.187,19,15418868.0,15419068.0
116,ENSG00000011260,1.831,2.177,17,51260339.0,51260539.0
118,ENSG00000011275,1.824,1.736,7,5781609.0,5781809.0
120,ENSG00000011295,1.619,-0.707,17,15999373.0,15999573.0
122,ENSG00000011405,2.446,2.438,11,17207923.0,17208123.0
124,ENSG00000011478,-0.219,-0.97,19,45692569.0,45692769.0
126,ENSG00000011523,1.76,1.574,2,65056206.0,65056406.0
128,ENSG00000011590,-1.607,-1.288,19,35704432.0,35704632.0
130,ENSG00000011638,1.938,1.096,16,21158499.0,21158699.0
132,ENSG00000012048,-0.746,-2.361,17,43125224.0,43125424.0
134,ENSG00000012174,1.07,1.791,X,21839442.0,21839642.0
136,ENSG00000012223,-1.325,0.268,3,46464805.0,46465005.0
138,ENSG00000013374,2.602,2.759,7,151341644.0,151341844.0
140,ENSG00000013523,2.86,2.7,14,76812817.0,76813017.0
142,ENSG00000013561,-0.413,-0.082,5,141969015.0,141969215.0
144,ENSG00000013588,-0.288,-0.829,12,12891463.0,12891663.0
146,ENSG00000013810,0.709,-0.178,4,1721402.0,1721602.0
148,ENSG00000014123,1.967,0.144,6,96521724.0,96521924.0
150,ENSG00000014138,-0.793,0.369,11,65261799.0,65261999.0
152,ENSG00000014216,0.71,1.21,11,65181851.0,65182051.0
154,ENSG00000014641,0.625,1.351,2,63588871.0,63589071.0
156,ENSG00000015413,-1.192,-2.337,16,89620495.0,89620695.0
158,ENSG00000015568,-0.835,-0.851,2,109794203.0,109794403.0
160,ENSG00000015592,-1.538,-1.965,8,27258301.0,27258501.0
162,ENSG00000015676,1.363,0.296,7,44490531.0,44490731.0
164,ENSG00000017260,1.572,2.222,3,130893876.0,130894076.0
166,ENSG00000018610,2.074,1.21,X,119565347.0,119565547.0
168,ENSG00000019186,-1.046,-1.121,20,54173728.0,54173928.0
170,ENSG00000020129,2.076,1.973,1,35557609.0,35557809.0
172,ENSG00000020577,0.277,0.368,14,54566902.0,54567102.0
174,ENSG00000021355,-2.322,-1.678,6,2841796.0,2841996.0
176,ENSG00000021645,1.128,-0.237,14,78170275.0,78170475.0
178,ENSG00000021776,-0.572,-0.422,15,34969581.0,34969781.0
180,ENSG00000022567,-0.476,-1.721,8,141228320.0,141228520.0
182,ENSG00000023287,-2.523,-1.626,8,52714258.0,52714458.0
184,ENSG00000023318,0.811,0.566,9,100098905.0,100099105.0
186,ENSG00000023445,-0.748,-0.425,11,102317359.0,102317559.0
188,ENSG00000023697,1.536,1.083,12,15911166.0,15911366.0
190,ENSG00000023734,1.936,1.863,12,15882236.0,15882436.0
192,ENSG00000023892,0.566,0.217,6,35297683.0,35297883.0
194,ENSG00000024526,-0.514,-0.374,1,68496944.0,68497144.0
196,ENSG00000025796,-1.295,-2.045,6,107957969.0,107958169.0
198,ENSG00000026025,0.684,-0.851,10,17229177.0,17229377.0
200,ENSG00000027001,1.996,0.738,13,23889371.0,23889571.0
202,ENSG00000027075,-0.904,-0.55,14,61187458.0,61187658.0
204,ENSG00000027697,0.04,-0.172,6,137219223.0,137219423.0
206,ENSG00000028277,-0.357,-0.163,19,42132344.0,42132544.0
208,ENSG00000028839,2.808,2.689,6,133953012.0,133953212.0
210,ENSG00000029639,1.897,1.732,6,155314379.0,155314579.0
212,ENSG00000029725,1.075,1.571,17,5282165.0,5282365.0
214,ENSG00000029993,1.975,1.306,X,150983117.0,150983317.0
216,ENSG00000030066,2.146,0.967,11,47848278.0,47848478.0
218,ENSG00000030110,2.177,0.339,6,33580183.0,33580383.0
220,ENSG00000031081,-1.109,-1.068,3,119294298.0,119294498.0
222,ENSG00000031691,2.395,2.573,6,49463217.0,49463417.0
224,ENSG00000031698,2.919,2.61,1,109213798.0,109213998.0
226,ENSG00000032219,-0.982,-0.683,14,58298441.0,58298641.0
228,ENSG00000032742,-0.731,0.862,13,20567101.0,20567301.0
230,ENSG00000033030,0.503,0.177,12,122500759.0,122500959.0
232,ENSG00000033050,0.297,0.764,7,151227115.0,151227315.0
234,ENSG00000033100,2.48,1.569,7,151232344.0,151232544.0
236,ENSG00000033122,-1.951,-1.915,1,69568316.0,69568516.0
238,ENSG00000033627,2.431,3.0,17,42458682.0,42458882.0
240,ENSG00000034239,-1.38,0.548,8,48735181.0,48735381.0
242,ENSG00000035499,2.134,2.2,5,60700073.0,60700273.0
244,ENSG00000036448,-1.438,-1.176,8,2044945.0,2045145.0
246,ENSG00000036549,1.651,1.781,1,77683355.0,77683555.0
248,ENSG00000036672,0.065,-0.528,11,119381473.0,119381673.0
250,ENSG00000037757,1.295,2.903,19,13764456.0,13764656.0
252,ENSG00000037897,1.811,2.127,12,57772047.0,57772247.0
254,ENSG00000038219,1.917,1.612,4,13627666.0,13627866.0
256,ENSG00000038274,1.992,1.25,5,163505434.0,163505634.0
258,ENSG00000039650,0.278,1.149,19,49867464.0,49867664.0
260,ENSG00000039987,0.288,-0.331,19,12751588.0,12751788.0
262,ENSG00000040275,1.661,1.126,5,169583636.0,169583836.0
264,ENSG00000040531,2.166,2.283,17,3636266.0,3636466.0
266,ENSG00000041353,-0.316,-0.909,18,54717760.0,54717960.0
268,ENSG00000042429,2.422,0.755,11,93784154.0,93784354.0
270,ENSG00000042832,-1.174,-1.293,8,132866856.0,132867056.0
272,ENSG00000042980,0.903,0.697,8,24293917.0,24294117.0
274,ENSG00000044090,2.09,2.265,6,43053842.0,43054042.0
276,ENSG00000044459,0.871,0.587,9,17134902.0,17135102.0
278,ENSG00000044524,-1.214,-0.849,3,89107530.0,89107730.0
280,ENSG00000046604,0.174,0.965,18,31497837.0,31498037.0
282,ENSG00000046647,-0.844,-0.713,X,14029691.0,14029891.0
284,ENSG00000046889,-2.357,-2.169,8,67952010.0,67952210.0
286,ENSG00000047188,-0.418,-0.125,5,113513643.0,113513843.0
288,ENSG00000047230,-1.921,-2.113,X,16712577.0,16712777.0
290,ENSG00000047249,0.339,1.206,8,53843190.0,53843390.0
292,ENSG00000047621,-1.524,-0.435,12,4538384.0,4538584.0
294,ENSG00000047662,-1.23,-2.105,4,17781286.0,17781486.0
296,ENSG00000048392,-0.918,0.11,8,102238812.0,102239012.0
298,ENSG00000048405,-0.899,-0.474,7,127391984.0,127392184.0
300,ENSG00000048471,1.904,1.765,16,11976543.0,11976743.0
302,ENSG00000048649,1.713,-0.912,11,77820628.0,77820828.0
304,ENSG00000049167,1.259,1.629,5,60945023.0,60945223.0
306,ENSG00000049283,-0.698,-1.114,17,50532464.0,50532664.0
308,ENSG00000049449,1.326,1.579,11,32090796.0,32090996.0
310,ENSG00000049618,1.027,-1.149,6,156777276.0,156777476.0
312,ENSG00000049860,0.911,0.607,5,74685035.0,74685235.0
314,ENSG00000051108,-0.627,-1.73,16,56932044.0,56932244.0
316,ENSG00000051596,2.162,1.543,5,175968161.0,175968361.0
318,ENSG00000051620,1.753,2.32,6,138404073.0,138404273.0
320,ENSG00000051825,0.925,0.442,12,123233024.0,123233224.0
322,ENSG00000052723,2.279,2.251,1,114780589.0,114780789.0
324,ENSG00000052802,1.264,0.903,4,165327604.0,165327804.0
326,ENSG00000052850,-0.644,-1.717,11,44309963.0,44310163.0
328,ENSG00000053438,0.71,0.861,20,37521131.0,37521331.0
330,ENSG00000053501,1.306,1.393,19,17215241.0,17215441.0
332,ENSG00000053524,-0.407,1.053,3,183428522.0,183428722.0
334,ENSG00000054118,1.275,1.272,1,36224350.0,36224550.0
336,ENSG00000054796,-1.658,-1.864,20,57329706.0,57329906.0
338,ENSG00000055044,1.613,0.712,2,202265607.0,202265807.0
340,ENSG00000055732,-0.393,-0.688,1,85048378.0,85048578.0
342,ENSG00000055917,-1.406,-1.764,2,20350541.0,20350741.0
344,ENSG00000056277,0.803,0.795,X,130268686.0,130268886.0
346,ENSG00000056291,-1.748,-0.91,4,72031752.0,72031952.0
348,ENSG00000056972,-0.506,0.019,6,111605742.0,111605942.0
350,ENSG00000057593,-1.128,-1.556,13,113105676.0,113105876.0
352,ENSG00000057657,-0.991,-1.291,6,106086233.0,106086433.0
354,ENSG00000057663,-0.411,-0.223,6,106325550.0,106325750.0
356,ENSG00000058335,-1.774,-0.73,15,79005090.0,79005290.0
358,ENSG00000058404,-2.225,-1.159,7,44323842.0,44324042.0
360,ENSG00000058453,-1.863,-1.394,1,16921883.0,16922083.0
362,ENSG00000058799,-0.915,0.778,1,53889650.0,53889850.0
364,ENSG00000058804,-1.839,-2.076,1,53838166.0,53838366.0
366,ENSG00000059122,1.264,1.324,16,2911759.0,2911959.0
368,ENSG00000059758,-2.449,-1.927,12,96399926.0,96400126.0
370,ENSG00000059915,-1.171,0.26,10,102419653.0,102419853.0
372,ENSG00000060140,-0.977,-0.981,12,10673486.0,10673686.0
374,ENSG00000060762,-1.627,-1.444,6,166382801.0,166383001.0
376,ENSG00000061656,-0.677,-0.54,20,35616908.0,35617108.0
378,ENSG00000061936,1.118,-1.772,12,131710987.0,131711187.0
380,ENSG00000062282,-0.635,-0.848,11,75768655.0,75768855.0
382,ENSG00000062485,0.612,0.837,12,56300227.0,56300427.0
384,ENSG00000062716,1.728,1.855,17,59707429.0,59707629.0
386,ENSG00000063046,0.571,1.152,12,53006216.0,53006416.0
388,ENSG00000063169,-0.76,-0.293,19,47609032.0,47609232.0
390,ENSG00000063176,-0.096,0.223,19,48624283.0,48624483.0
392,ENSG00000063322,2.396,0.405,19,39391297.0,39391497.0
394,ENSG00000064199,0.91,1.42,11,124673764.0,124673964.0
396,ENSG00000064205,-0.888,-0.831,20,44714739.0,44714939.0
398,ENSG00000064655,-1.33,-1.852,20,46894521.0,46894721.0
400,ENSG00000064666,2.707,0.935,19,1026421.0,1026621.0
402,ENSG00000064703,0.747,1.945,1,111755471.0,111755671.0
404,ENSG00000064726,-0.782,-0.845,15,83067049.0,83067249.0
406,ENSG00000064995,1.486,1.447,6,34887876.0,34888076.0
408,ENSG00000064999,2.247,1.558,6,34889093.0,34889293.0
410,ENSG00000065243,1.727,2.495,1,88684171.0,88684371.0
412,ENSG00000065328,1.98,1.069,10,13161350.0,13161550.0
414,ENSG00000065457,2.385,1.769,16,75623242.0,75623442.0
416,ENSG00000065485,1.677,-0.004,3,123066893.0,123067093.0
418,ENSG00000065548,0.907,-0.469,2,186486053.0,186486253.0
420,ENSG00000065600,2.044,0.222,1,212414868.0,212415068.0
422,ENSG00000065615,1.733,1.01,6,83859491.0,83859691.0
424,ENSG00000065717,-2.032,-1.196,19,3028247.0,3028447.0
426,ENSG00000065883,-1.67,-2.368,7,39950051.0,39950251.0
428,ENSG00000065978,1.652,0.967,1,42682312.0,42682512.0
430,ENSG00000065989,-1.743,-1.904,19,10416684.0,10416884.0
432,ENSG00000066027,-1.474,-0.773,1,212285423.0,212285623.0
434,ENSG00000066135,1.039,0.741,1,43650060.0,43650260.0
436,ENSG00000066185,-0.287,-0.258,1,42455928.0,42456128.0
438,ENSG00000066279,-0.431,-0.942,1,197146503.0,197146703.0
440,ENSG00000066294,-1.858,-1.171,1,160579379.0,160579579.0
442,ENSG00000066336,-0.831,-2.368,11,47378274.0,47378474.0
444,ENSG00000066557,1.824,2.0,1,70205527.0,70205727.0
446,ENSG00000066651,2.108,1.706,6,125986374.0,125986574.0
448,ENSG00000066654,2.589,1.74,16,20741658.0,20741858.0
450,ENSG00000067334,2.095,1.584,1,93879134.0,93879334.0
452,ENSG00000067365,1.91,2.093,16,8621573.0,8621773.0
454,ENSG00000067445,1.63,0.945,X,54920723.0,54920923.0
456,ENSG00000067533,0.118,-0.055,1,218285098.0,218285298.0
458,ENSG00000067829,0.098,-0.716,X,153794235.0,153794435.0
460,ENSG00000067836,0.31,0.892,16,4802546.0,4802746.0
462,ENSG00000068079,0.781,0.331,17,43006653.0,43006853.0
464,ENSG00000068137,-1.213,-0.45,17,42676529.0,42676729.0
466,ENSG00000068308,0.467,0.973,X,48957492.0,48957692.0
468,ENSG00000068438,0.608,1.251,X,48476108.0,48476308.0
470,ENSG00000068697,-0.258,-0.541,2,20051492.0,20051692.0
472,ENSG00000068745,2.539,1.794,3,48717105.0,48717305.0
474,ENSG00000068885,1.456,2.003,3,160399162.0,160399362.0
476,ENSG00000068912,0.736,1.557,2,53786873.0,53787073.0
478,ENSG00000069020,-0.803,-1.338,5,67004526.0,67004726.0
480,ENSG00000069248,2.42,2.895,1,229508293.0,229508493.0
482,ENSG00000069493,-1.147,-0.853,12,9664940.0,9665140.0
484,ENSG00000069702,-0.757,-1.415,1,91885900.0,91886100.0
486,ENSG00000069956,2.269,1.401,15,52019083.0,52019283.0
488,ENSG00000070010,-2.065,-0.677,22,19479030.0,19479230.0
490,ENSG00000070061,-2.212,-1.15,9,108933832.0,108934032.0
492,ENSG00000070081,0.94,0.719,11,17276523.0,17276723.0
494,ENSG00000070269,-1.657,-1.536,14,56579696.0,56579896.0
496,ENSG00000070526,-1.014,-1.939,17,76643588.0,76643788.0
498,ENSG00000070761,-1.068,-0.467,16,58129166.0,58129366.0
500,ENSG00000070785,-1.775,-0.786,1,44986441.0,44986641.0
502,ENSG00000070831,1.102,1.135,1,22052547.0,22052747.0
504,ENSG00000070915,-1.152,-1.035,16,56865108.0,56865308.0
506,ENSG00000071539,0.902,1.555,5,892539.0,892739.0
508,ENSG00000071553,2.266,2.089,X,154428454.0,154428654.0
510,ENSG00000071967,-1.45,-0.658,2,171522285.0,171522485.0
512,ENSG00000072135,0.581,0.533,2,130355867.0,130356067.0
514,ENSG00000072163,-0.353,-1.694,2,127650495.0,127650696.0
516,ENSG00000072310,-0.052,0.677,17,17836883.0,17837083.0
518,ENSG00000072364,-1.854,-1.832,5,132963225.0,132963425.0
520,ENSG00000072401,2.04,0.562,10,58334810.0,58335010.0
522,ENSG00000072506,-0.106,1.051,X,53434248.0,53434448.0
524,ENSG00000072518,1.185,0.499,11,63838868.0,63839068.0
526,ENSG00000072571,0.05,-0.095,5,163460549.0,163460749.0
528,ENSG00000072756,2.286,2.416,3,3126806.0,3127006.0
530,ENSG00000072778,2.469,0.74,17,7219751.0,7219951.0
532,ENSG00000072832,-2.44,-2.195,4,5888167.0,5888367.0
534,ENSG00000072858,-2.311,-1.193,3,113532310.0,113532510.0
536,ENSG00000073067,-1.244,-1.083,7,983104.0,983304.0
538,ENSG00000073146,1.991,2.326,22,50089801.0,50090001.0
540,ENSG00000073169,2.149,2.538,22,50200821.0,50201021.0
542,ENSG00000073417,-0.203,-1.38,15,84980349.0,84980549.0
544,ENSG00000073464,-0.63,-0.091,X,10156780.0,10156980.0
546,ENSG00000073536,3.009,0.08,17,35142241.0,35142441.0
548,ENSG00000073756,-0.509,-0.694,1,186680321.0,186680521.0
550,ENSG00000073792,-0.133,-1.0,3,185824899.0,185825099.0
552,ENSG00000073910,0.425,-0.283,13,32031113.0,32031313.0
554,ENSG00000074047,-2.245,-1.478,2,120736165.0,120736365.0
556,ENSG00000074071,2.549,1.876,16,1773089.0,1773289.0
558,ENSG00000074201,2.219,1.214,11,77637735.0,77637935.0
560,ENSG00000074211,-0.627,-1.441,4,6381770.0,6381970.0
562,ENSG00000074266,-1.376,-1.734,11,86244638.0,86244838.0
564,ENSG00000074276,-1.197,-1.322,5,176542539.0,176542739.0
566,ENSG00000074582,2.05,1.776,2,218659557.0,218659757.0
568,ENSG00000074660,-0.343,-0.15,17,1645627.0,1645827.0
570,ENSG00000074800,0.813,-0.24,1,8878555.0,8878755.0
572,ENSG00000074842,2.318,2.968,19,4670288.0,4670488.0
574,ENSG00000074855,-0.78,-0.38,19,17334781.0,17334981.0
576,ENSG00000075073,-1.443,-0.645,10,69409181.0,69409381.0
578,ENSG00000075213,-2.505,-1.265,7,84194509.0,84194709.0
580,ENSG00000075239,0.883,0.659,11,108121465.0,108121665.0
582,ENSG00000075303,0.268,-0.279,7,87876165.0,87876365.0
584,ENSG00000075336,2.668,2.243,18,74148345.0,74148545.0
586,ENSG00000075340,-2.434,-1.133,2,70767989.0,70768189.0
588,ENSG00000075407,1.667,1.851,10,38094182.0,38094382.0
590,ENSG00000075413,2.912,0.645,14,103385243.0,103385443.0
592,ENSG00000075618,1.033,1.021,7,5592714.0,5592914.0
594,ENSG00000075673,0.189,0.317,13,24680309.0,24680509.0
596,ENSG00000075790,-0.813,-1.966,7,107579906.0,107580106.0
598,ENSG00000075856,1.277,-0.066,12,108561069.0,108561269.0
600,ENSG00000076043,2.021,1.632,11,114439308.0,114439508.0
602,ENSG00000076321,2.321,2.629,1,173714821.0,173715021.0
604,ENSG00000076716,-1.324,-1.96,X,133415336.0,133415536.0
606,ENSG00000076770,0.905,-0.266,X,132413602.0,132413802.0
608,ENSG00000076864,-0.594,0.283,1,21669243.0,21669443.0
610,ENSG00000077080,-1.218,-1.778,7,100656312.0,100656512.0
612,ENSG00000077092,-1.251,-0.92,3,25174264.0,25174464.0
614,ENSG00000077157,1.475,1.529,1,202348606.0,202348806.0
616,ENSG00000077232,-1.289,-1.097,2,182716033.0,182716233.0
618,ENSG00000077235,0.637,0.002,16,27549805.0,27550005.0
620,ENSG00000077254,1.352,1.8,1,77759735.0,77759935.0
622,ENSG00000077312,1.625,0.591,19,40750789.0,40750989.0
624,ENSG00000077420,-2.478,-2.86,10,26438102.0,26438302.0
626,ENSG00000077721,1.529,-0.049,X,119574397.0,119574597.0
628,ENSG00000077943,-1.477,-1.774,10,15719751.0,15719951.0
630,ENSG00000078018,-1.672,-1.445,2,209579344.0,209579544.0
632,ENSG00000078304,1.872,1.247,14,101809703.0,101809903.0
634,ENSG00000078328,-0.749,-1.019,16,6018994.0,6019194.0
636,ENSG00000078399,-2.505,-2.052,7,27165373.0,27165573.0
638,ENSG00000078618,-0.2,0.108,1,51878602.0,51878802.0
640,ENSG00000078674,1.649,1.192,8,17922671.0,17922871.0
642,ENSG00000078725,-1.33,-1.659,9,119369297.0,119369497.0
644,ENSG00000078804,0.931,1.558,20,34704146.0,34704346.0
646,ENSG00000078808,-0.565,-0.589,1,1231852.0,1232052.0
648,ENSG00000078898,-0.744,-1.529,20,33007494.0,33007694.0
650,ENSG00000079112,-1.083,-1.155,8,94208469.0,94208669.0
652,ENSG00000079134,2.112,1.901,18,268010.0,268210.0
654,ENSG00000079263,-1.065,-0.991,2,230225636.0,230225836.0
656,ENSG00000079277,2.411,2.061,1,46604238.0,46604438.0
658,ENSG00000079308,-0.747,-0.592,2,217901789.0,217901989.0
660,ENSG00000079332,2.683,1.901,10,70170395.0,70170595.0
662,ENSG00000079459,1.225,0.902,8,11802605.0,11802805.0
664,ENSG00000079462,0.816,-0.845,19,42302371.0,42302571.0
666,ENSG00000079482,-1.449,-0.004,X,68433302.0,68433502.0
668,ENSG00000079691,0.468,1.334,6,25279232.0,25279432.0
670,ENSG00000079785,1.031,-0.021,2,15591676.0,15591876.0
672,ENSG00000079950,1.771,1.091,6,132513051.0,132513251.0
674,ENSG00000080371,2.427,1.159,12,71754710.0,71754910.0
676,ENSG00000080573,-1.205,-0.796,19,10010373.0,10010573.0
678,ENSG00000080608,0.531,1.677,9,2843988.0,2844188.0
680,ENSG00000080709,-0.864,-1.162,5,114360947.0,114361147.0
682,ENSG00000080815,1.861,2.044,14,73136342.0,73136542.0
684,ENSG00000080823,-1.586,-1.448,14,102304916.0,102305116.0
686,ENSG00000080986,0.791,1.87,18,2571449.0,2571649.0
688,ENSG00000081019,1.714,2.359,1,113812177.0,113812377.0
690,ENSG00000081041,-1.782,-1.752,4,74099094.0,74099294.0
692,ENSG00000081052,-1.479,0.001,2,227163959.0,227164159.0
694,ENSG00000081307,-0.943,-0.998,3,132659776.0,132659976.0
696,ENSG00000081386,1.056,0.277,9,96778068.0,96778268.0
698,ENSG00000081665,-0.021,-0.748,19,19821632.0,19821832.0
700,ENSG00000081721,1.771,1.571,1,161749640.0,161749840.0
702,ENSG00000081791,0.99,0.487,5,141923695.0,141923895.0
704,ENSG00000081853,-0.734,-0.454,5,141338643.0,141338843.0
706,ENSG00000081870,-1.117,-1.112,1,53945473.0,53945673.0
708,ENSG00000082212,1.589,2.047,18,50878980.0,50879180.0
710,ENSG00000082213,1.898,1.927,5,31532103.0,31532303.0
712,ENSG00000082258,1.861,1.154,2,134918738.0,134918938.0
714,ENSG00000082269,0.567,0.179,6,70413395.0,70413595.0
716,ENSG00000082556,-0.973,-1.026,8,53238524.0,53238724.0
718,ENSG00000082684,-0.783,-1.31,3,122975230.0,122975430.0
720,ENSG00000083223,-1.83,-2.62,9,86354197.0,86354397.0
722,ENSG00000083535,1.665,1.147,13,72781952.0,72782152.0
724,ENSG00000083635,0.993,1.664,13,44989395.0,44989595.0
726,ENSG00000083750,1.51,1.592,X,55717567.0,55717767.0
728,ENSG00000083799,1.295,2.25,16,50741981.0,50742181.0
730,ENSG00000083814,2.173,0.444,19,57727511.0,57727711.0
732,ENSG00000083857,-1.448,-1.296,4,186726432.0,186726632.0
734,ENSG00000083937,1.445,1.967,3,87227130.0,87227330.0
736,ENSG00000084073,2.093,2.753,1,40257988.0,40258188.0
738,ENSG00000084444,1.002,1.339,12,13044286.0,13044486.0
740,ENSG00000084463,-0.918,-1.33,12,14803297.0,14803497.0
742,ENSG00000084733,0.308,-0.441,2,26033871.0,26034071.0
744,ENSG00000084754,-0.855,-1.651,2,26244521.0,26244721.0
746,ENSG00000084774,-0.787,0.801,2,27217322.0,27217522.0
748,ENSG00000085185,-0.171,-0.781,X,129982537.0,129982737.0
750,ENSG00000085224,1.396,0.317,X,77786174.0,77786374.0
752,ENSG00000085231,-1.089,-0.769,5,69369411.0,69369611.0
754,ENSG00000085433,-0.441,-1.827,1,109042008.0,109042208.0
756,ENSG00000085449,2.429,0.211,2,223945273.0,223945473.0
758,ENSG00000085491,-1.106,-1.331,1,108200079.0,108200279.0
760,ENSG00000085552,0.857,0.076,1,159945620.0,159945820.0
762,ENSG00000085563,-0.182,-1.0,7,87600864.0,87601064.0
764,ENSG00000085721,-0.911,-1.011,16,15093879.0,15094079.0
766,ENSG00000085871,-1.174,-1.246,4,139665786.0,139665986.0
768,ENSG00000085978,2.281,1.839,2,233251504.0,233251704.0
770,ENSG00000085982,1.6,2.15,2,233566714.0,233566914.0
772,ENSG00000085999,1.843,0.117,1,46247548.0,46247748.0
774,ENSG00000086061,0.538,-0.327,9,33025173.0,33025373.0
776,ENSG00000086159,-0.626,-0.642,12,49967208.0,49967408.0
778,ENSG00000086189,-2.178,-2.582,5,62403722.0,62403922.0
780,ENSG00000086200,2.371,0.942,5,62412543.0,62412743.0
782,ENSG00000086289,-0.962,-0.656,7,37920528.0,37920728.0
784,ENSG00000086475,1.077,1.173,10,13347930.0,13348130.0
786,ENSG00000086544,-1.869,-0.708,19,40717022.0,40717222.0
788,ENSG00000086619,1.884,2.386,1,236281858.0,236282058.0
790,ENSG00000086712,1.721,3.354,X,16786227.0,16786427.0
792,ENSG00000087008,1.206,-0.092,4,8428373.0,8428573.0
794,ENSG00000087086,2.178,1.336,19,48965123.0,48965323.0
796,ENSG00000087087,2.649,2.781,7,100874938.0,100875138.0
798,ENSG00000087088,0.462,-0.072,19,48954653.0,48954853.0
800,ENSG00000087237,-0.803,-0.875,16,56961822.0,56962022.0
802,ENSG00000087250,-0.875,-0.631,16,56588996.0,56589196.0
804,ENSG00000087263,1.947,2.348,16,56451358.0,56451558.0
806,ENSG00000087299,0.482,-0.032,14,50312152.0,50312352.0
808,ENSG00000087302,2.545,2.114,14,51989362.0,51989562.0
810,ENSG00000087470,2.012,1.336,12,32679086.0,32679286.0
812,ENSG00000087510,0.866,0.265,20,56629208.0,56629408.0
814,ENSG00000087842,1.386,2.502,X,15493217.0,15493417.0
816,ENSG00000087884,1.829,0.89,11,77821010.0,77821210.0
818,ENSG00000087995,1.535,-0.234,17,62423784.0,62423984.0
